City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,shagonar,51.53,92.8,71.65,59,100,2.55,RU,1594110066
349,zhirnov,48.17,41.13,94.1,25,0,16.89,RU,1594110181
350,blackburn,53.75,-2.48,55.99,87,98,1.99,GB,1594110181
351,port-gentil,-0.72,8.78,78.8,83,40,13.87,GA,1594109726
352,lalmohan,22.34,90.74,87.57,75,53,17.22,BD,1594110182
353,danville,36.59,-79.39,71.01,88,1,2.55,US,1594110182
354,waingapu,-9.66,120.26,81.25,68,90,17.07,ID,1594110182
355,madaoua,14.07,5.96,85.93,55,0,14.99,NE,1594109954
356,kaeo,-35.1,173.78,51.01,3,1,3.0,NZ,1594110183
357,el corpus,14.7,-88.92,66.47,87,100,0.36,HN,1594110183
358,alugan,12.22,125.48,85.82,70,5,6.78,PH,1594110183
359,eau claire,44.81,-91.5,71.01,88,1,2.39,US,1594110178
360,sakakah,29.97,40.21,89.6,27,0,20.8,SA,1594110184
361,kropotkin,45.44,40.58,90.91,36,0,6.38,RU,1594110184
362,itiuba,-10.69,-39.85,58.35,98,10,2.75,BR,1594110184
363,srednekolymsk,67.45,153.68,53.6,83,98,4.72,RU,1594110184
364,miranda,3.25,-76.23,68.0,94,75,2.24,CO,1594110184
365,troitsko-pechorsk,62.71,56.2,85.32,40,0,6.98,RU,1594109945
366,rosario,-32.95,-60.64,44.01,81,0,8.05,AR,1594110061
367,krasnoselkup,65.7,82.47,75.22,43,0,16.06,RU,1594109738
368,chapais,49.78,-74.85,64.4,55,90,10.29,CA,1594109720
369,batagay-alyta,67.8,130.41,64.02,32,10,1.5,RU,1594110185
370,do gonbadan,30.36,50.8,105.8,12,0,11.41,IR,1594110185
371,chumikan,54.72,135.31,46.58,92,100,7.94,RU,1594110186
372,dakar,14.69,-17.44,82.4,83,20,5.35,SN,1594109930
373,husavik,66.04,-17.34,46.4,81,92,4.7,IS,1594109639
374,te anau,-45.42,167.72,37.56,88,100,8.7,NZ,1594110186
375,maniitsoq,65.42,-52.9,40.37,96,100,12.8,GL,1594110186
376,olafsvik,64.89,-23.71,51.82,69,88,5.28,IS,1594109607
377,bunia,1.57,30.25,71.17,78,89,5.21,CD,1594110187
378,ligayan,4.65,119.47,83.95,72,70,10.92,PH,1594110187
379,codrington,-38.27,141.97,52.27,87,91,6.89,AU,1594109696
380,pingliang,35.54,106.69,90.32,19,0,16.87,CN,1594109687
381,rocha,-34.48,-54.33,46.17,80,99,5.82,UY,1594110188
382,pistsovo,57.18,40.53,82.4,54,0,6.71,RU,1594110188
